"name","area_11_1_856_S25","area_11_2_856_S25","area_11_3_856_S25","area_11_1_15_S25","area_11_2_15_S25","area_11_3_15_S25","area_11_1_92_S25","area_11_2_92_S25","area_11_3_92_S25","area_2_1_15_J17","area_2_2_15_J17","area_2_3_15_J17","area_2_1_15_J25","area_2_2_15_J25","area_2_3_15_J25","area_2_1_15_S17","area_2_2_15_S17","area_2_3_15_S17","area_2_1_15_S25","area_2_2_15_S25","area_2_3_15_S25","area_8_1_15_S25","area_8_2_15_S25","area_8_3_15_S25","area_10_1_15_J17","area_10_2_15_J17","area_10_3_15_J17","area_10_1_15_J25","area_10_2_15_J25","area_10_3_15_J25","area_11_1_856_J25","area_11_2_856_J25","area_11_3_856_J25","area_11_1_15_J25","area_11_2_15_J25","area_11_3_15_J25","area_11_1_92_J25","area_11_2_92_J25","area_11_3_92_J25","area_8_1_15_S17","area_8_2_15_S17","area_8_3_15_S17"
"group","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","noOTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA","OTA"
"(-)-alpha-Cedrene","1562454.93281381","1392054.88185406","1582376.29048643","1269573.65691103","1252714.08742222","1446746.39137127","1704295.49846592","1616895.94529069","1698383.65353617","242809.843387389","221805.806095131","193470.395819022","721965.165819302","550345.959689662","415422.413977638","451968.945834295","364159.885887661","412949.899127151","117804.695526376","186326.962905947","126746.583541452","764640.463546943","898184.800575677","752083.4730428","1266222.0466484","1316310.08937894","1187779.46034358","3353742.19095685","3118526.46576206","3935262.80537422","1890525.82997574","1184882.82776926","1355454.71542775","2998171.3323363","2614010.22623511","4393611.70393396","1619583.52522292","4191551.64336114","1474119.52506675","737449.428883697","881649.674339664","765691.225959968"
"(-)-Isopiperitenone","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","15418005.3585055","15420088.8441607","16964073.317652","8290506.19942253","5286359.26491775","1722970.86566574","3914446.17663971","1436468.34824585","2531042.24621367","7383407.34748137","8864312.50875403","6682653.88441219","2099760.15347166","2937739.71367385","1928371.13178282","4685841.81482654","6194943.40169311","5892856.56903151"
"(-)-monascumic acid","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","2368666.44661111","5185291.46575309","4224621.14976185","1727797.09542602","1738367.01308186","3346034.99813657","501943.21398976","736315.420160517","543120.429088942","1956964.40403267","1855441.04470386","4114052.88168901","1106689.39345985","5827626.15890039","1208081.57174189","223338.178102684","282486.674542771","322619.260121087"
"(-)-trans-Carveol","2670462.83273671","3215545.07741477","3384391.89874731","2180493.97960073","2198905.35563277","2227160.48960335","2171131.13727324","2416371.81222008","2443011.801461","652822.475886989","526801.841649776","479060.282525937","1872175.58128388","1215974.06779967","1099823.14503309","1350949.91296181","1337676.13266446","1111636.53504501","1783639.57771106","2509491.9897687","2206459.58907019","1524751.240461","1965245.83001233","1376198.30112231","4711079.28449779","4018155.51534116","4081717.03666695","2731342.54165622","1393551.0093886","1151380.85107511","2456024.37005842","311157.674640845","1422111.3765942","2974801.18466336","2380490.39229687","2264657.84997667","658917.511675036","936350.351535499","618965.314965961","2452446.97707213","2314245.21048602","2755154.17089038"
"(+)-Bornane-2_5-dione","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","4644571.21972241","3097529.02938311","6877742.76560023","2992148.1395233","2269751.28451569","1826969.38327285","2632908.97732312","1522586.6148754","2333896.3483461","4302860.81724858","2174494.54572437","3545901.33814092","2095918.18520232","3075873.12267317","1960972.01704297","2601163.50276253","2882331.60994291","2118348.50323632"
"(+)-ethyl homononactate","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","387478.530563926","429762.967171225","278560.923289279","127557.26370785","85251.5928365455","97753.6791208302","301154.798755862","137267.676454758","232320.849335276","251439.976657433","267452.850179801","224409.091871386","113141.530393906","137385.337677349","134515.285569304","279628.156719121","257590.749955458","245447.834988569"
"(+)-exo-5-Hydroxycamphor","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","5869629.35693793","5575428.49371256","6190498.3558284","3386619.34933406","2239469.10931343","823144.863561046","1948631.97278823","925259.77474538","1376083.18384928","3071058.13651696","3446545.76931432","2689788.0401277","1321226.52604335","1740526.02895679","1233670.3863746","1937646.48023458","2503260.1843936","2440286.04676602"
"(+/-)-6-Hydroxy-3-oxo-alpha-ionone","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","314606.585821379","260608.478839355","302972.791555087","257106.120502625","262068.250177486","270524.628963423","304085.88225324","306072.912911901","310835.062886293","316672.563625233","280848.666911713","285308.892765246","328590.215188417","262367.097396521","298918.032268003","335039.060095881","513081.86397119","444833.649605109"
"(1E)-5-hydroxy-1,7-diphenylhept-1-en-3-one","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","11695.0862688977","60525.7402384266","42969.1854229057","31258.7764190628","923152.652621011","320064.745544161","2104215.0596601","2180185.99341822","904721.472218281","909853.681894992","1275032.51888252","94125.2064983617","931547.205244283","183953.336481276","445765.227662478","177280.014041796","336731.626562424","655819.457299016","524829.692037087"
