"","FC","log2(FC)","p.ajusted","-log10(p)"
"C12H29N4P",77.107,6.2688,3.4977e-06,5.4562
"N-Cyano-4-(1H-tetrazol-1-yl)benzamide",30.33,4.9227,3.4977e-06,5.4562
"Boc-NH-PEG4-CH2CH2NH2",326.53,8.3511,4.429e-06,5.3537
"Choline",3.0373e-05,-15.007,9.2552e-06,5.0336
"8-(4-Ethyl-1-piperazinyl)-3-methyl-7-(2-methyl-2-propen-1-yl)-3,7-dihydro-1H-purine-2,6-dione",0.0074374,-7.071,1.1667e-05,4.933
"C17H39P3",331.69,8.3737,1.4569e-05,4.8366
"2-Hydrazino-4-methoxy-6-(4-morpholinyl)-1,3,5-triazine",2689.4,11.393,1.4922e-05,4.8262
"8-(4'-O-methyl-α-rhamnopyranosyloxy)-2-methyquinoline",0.021917,-5.5118,1.4922e-05,4.8262
"mz_113.0342_&_RT_1.044",8804.8,13.104,1.6666e-05,4.7782
"C11H21N8O5P",0.10985,-3.1864,1.7311e-05,4.7617
"Cyclopentenone",611.65,9.2566,2.4307e-05,4.6143
"10-hydroxydecanoicacid",0.02947,-5.0846,2.435e-05,4.6135
"Catechol;1_2-Dihydroxybenzene",552.3,9.1093,2.5386e-05,4.5954
"Glycerol",2.5144e-05,-15.279,4.2593e-05,4.3707
"N-({2-[(Dimethylcarbamoyl)amino]ethyl}sulfamoyl)-N-methyl-beta-alanine",0.00074356,-10.393,4.2593e-05,4.3707
"C4H9N5O6",96.594,6.5939,4.2593e-05,4.3707
"C10H21N2O6P",2628.7,11.36,4.7335e-05,4.3248
"3-Ethyl-o-xylene",0.026038,-5.2633,4.7335e-05,4.3248
"C9H21NO8",270.97,8.082,5.5905e-05,4.2525
"C9H15NO4P2",114.68,6.8414,5.5905e-05,4.2525
"Decanophenone",0.02344,-5.4149,5.5905e-05,4.2525
"Pimprinol B",0.058318,-4.0999,5.5905e-05,4.2525
"2-Chloro-7,7-dimethyl-7,8-dihydro-5H-pyrano[4,3-b]pyridine-3-carboxamide",876.7,9.7759,7.6618e-05,4.1157
"C15H35P3",0.02139,-5.5469,7.6618e-05,4.1157
"mz_104.10667_&_RT_0.917",38509,15.233,9.726e-05,4.0121
"C17H35OP3",0.062242,-4.006,9.726e-05,4.0121
"5K8XI641G3",157.52,7.2994,0.00010978,3.9595
"C16H31O6P",0.063306,-3.9815,0.00011002,3.9585
"(R)-Norcoclaurine",0.010331,-6.5969,0.00011256,3.9486
"9-epi-sacrolide A",0.020039,-5.641,0.00011256,3.9486
"Deoxynojirimycin",58.163,5.862,0.00012864,3.8906
"Sch 725674",51.505,5.6866,0.00012864,3.8906
"C23H48O8",161.48,7.3352,0.00013922,3.8563
"C10H11N3OP2",107.47,6.7478,0.00013922,3.8563
"C2H2O13P2",0.066081,-3.9196,0.00013922,3.8563
"TO0110000",0.00022993,-12.087,0.00014922,3.8262
"(1S,2S,3R)-4-hydroxymethylcyclopent-4-ene-1,2,3-triol",181.23,7.5017,0.00014922,3.8262
"C30H52NP3",48.142,5.5892,0.00015469,3.8105
"Acetyl-L-carnitine",8647.7,13.078,0.00015718,3.8036
"2-Cyclododecyl-1-(4-morpholinyl)ethanone",33.339,5.0591,0.00015718,3.8036
"N-lauroylglycine",0.035733,-4.8066,0.00015718,3.8036
"1,1'-(1,4-Phenylene)bis{3-[2-(dimethylamino)ethyl]urea}",0.0022341,-8.8061,0.00017536,3.7561
"4-(4-Aminobenzyl)-N-ethylaniline",99.569,6.6376,0.00021777,3.662
"C12H27N4P",34.404,5.1045,0.00021777,3.662
"Asenjonamide C",6.776,2.7604,0.00021777,3.662
