"","FC","log2(FC)","p.ajusted","-log10(p)"
"Nipam",16492,14.01,5.7973e-07,6.2368
"2,3,8,9-tetrahydrocineromycin B",24.22,4.5981,7.1836e-07,6.1437
"C13H19N4P",21.476,4.4247,7.1836e-07,6.1437
"Tetramethylene sulfoxide",0.0014163,-9.4636,2.1632e-05,4.6649
"2-Hydroxyhepta-2_4-dienedioate",291.52,8.1875,2.1632e-05,4.6649
"10-(3,4-Dichlorobenzoyl)-11-[4-(diethylamino)phenyl]-3-(4-fluorophenyl)-2,3,4,5,10,11-hexahydro-1H-dibenzo[b,e][1,4]diazepin-1-one",103.88,6.6988,2.1632e-05,4.6649
"2-Chloro-N-[1-(5-methyl-1,2,4-oxadiazol-3-yl)cyclohexyl]acetamide",87.573,6.4524,2.1632e-05,4.6649
"mz_394.64837_&_RT_0.792",0.043535,-4.5217,2.1632e-05,4.6649
"thiodiglycol",0.061583,-4.0213,2.1632e-05,4.6649
"8-Amino-7-oxononanoate",175.17,7.4526,3.1389e-05,4.5032
"mz_185.10162_&_RT_0.791",1923.2,10.909,3.8349e-05,4.4162
"1-[(N-Acetylglycyl)(1,5-dimethyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)amino]-N-cyclohexylcyclohexanecarboxamide",128.92,7.0104,3.8349e-05,4.4162
"melamine",10784,13.397,4.1713e-05,4.3797
"3-Methoxy-4-propoxybenzyl (4-fluorophenyl)acetate",0.014032,-6.1551,5.0459e-05,4.2971
"C16H33O6P",25.249,4.6582,5.0459e-05,4.2971
"C11H22N5O3P",0.022888,-5.4493,5.9144e-05,4.2281
"MFCD00053868",14337,13.807,7.3829e-05,4.1318
"Xylarinic acid A",143.43,7.1642,9.131e-05,4.0395
"Norpsilocin",41.557,5.377,0.00010216,3.9907
"[FAamino(5:0)]2S-amino-pentanoicacid",2924.2,11.514,0.0001054,3.9772
"mz_243.18279_&_RT_0.814",0.0031521,-8.3095,0.0001054,3.9772
"C18H43N6OP",25.338,4.6632,0.00012657,3.8977
"Styrene",18793,14.198,0.00013662,3.8645
"mz_112.89548_&_RT_0.793",0.00030855,-11.662,0.00013662,3.8645
"mz_243.18274_&_RT_0.753",223.06,7.8013,0.00013662,3.8645
"Coniferylalcohol",0.0088276,-6.8238,0.00013662,3.8645
"Bhimamycin C",62.226,5.9594,0.00013662,3.8645
"N-(6-Acetyl-1,3-benzodioxol-5-yl)-2-(2,4-dioxo-1,3-diazaspiro[4.5]dec-3-yl)acetamide",59.909,5.9047,0.00013662,3.8645
"mz_131.01028_&_RT_0.787",0.0092433,-6.7574,0.00013996,3.854
"2-{[4-(Cyclohexylamino)-1-methyl-1H-pyrazolo[3,4-d]pyrimidin-6-yl](ethyl)amino}ethanol",6.978,2.8028,0.00015502,3.8096
"5-Phenyl-2-({[2-(1-piperazinyl)ethyl]amino}methylene)-1,3-cyclohexanedione",41.335,5.3693,0.00015573,3.8076
"Nicotinicacid",6.4519e-05,-13.92,0.00015685,3.8045
"3-Carboxy-1-methylpyridinium;N-Methylnicotinicacid",931.67,9.8637,0.00015685,3.8045
"Purine",694.81,9.4405,0.00015685,3.8045
"C6H16N3P3",0.0019944,-8.9698,0.00015685,3.8045
"2(alpha-D-Mannosyl)-D-glycerate",176.87,7.4666,0.00015685,3.8045
"Metoprolol",0.017299,-5.8532,0.00015685,3.8045
"mz_254.81506_&_RT_0.726",25.028,4.6455,0.00015685,3.8045
"C5H11ClN8O5",0.057865,-4.1112,0.00015685,3.8045
"1_8-Diazacyclotetradecane-2_9-dione",0.0005894,-10.728,0.00015998,3.7959
"(4E)-4-({[3-(Diethylamino)propyl]amino}methylene)-2-(4-nitrophenyl)-5-propyl-2,4-dihydro-3H-pyrazol-3-one",169.53,7.4054,0.00019692,3.7057
"Vermistatin",0.033526,-4.8986,0.00019692,3.7057
"C20H45N7O5P2",57.472,5.8448,0.0001972,3.7051
"C8H20N5OP",0.030154,-5.0515,0.0001972,3.7051
"1-{[1,2,4]triazolo[1,5-a]pyrimidine-2-carbonyl}-1H-imidazole",28.914,4.8537,0.0001972,3.7051
"n-Amylbenzene",0.01277,-6.2911,0.00021925,3.6591
"Cyclonerodiol",0.026349,-5.2461,0.00021925,3.6591
"[(2R)-5-Methyltetrahydro-2-thiophenyl]boronic acid",313.35,8.2916,0.00022432,3.6491
"5-Butoxy-4-hydroxypentanehydrazide",163.94,7.3571,0.00022887,3.6404
"3-Methylcrotonylglycine",158.43,7.3077,0.00022887,3.6404
"mz_124.03888_&_RT_0.894",15756,13.944,0.00022907,3.64
"Phytoalexin",176.73,7.4654,0.00022907,3.64
"Solanapyrone E",45.335,5.5026,0.00022907,3.64
"5-(4-Methylpiperazin-1-yl)-1H-1,2,4-triazol-3-amin",47.322,5.5644,0.00024023,3.6194
"4-Amino-2-(3-oxotetrahydro[1,3]oxazolo[3,4-a]pyrazin-7(1H)-yl)-5-pyrimidinecarbonitrile",649.9,9.3441,0.00024375,3.613
"mz_264.84387_&_RT_0.724",51.251,5.6795,0.00024939,3.6031
"mz_104.0702_&_RT_0.892",230.01,7.8455,0.00025252,3.5977
