"","FC","log2(FC)","p.ajusted","-log10(p)"
"mz_112.89547_&_RT_0.836",4.2445e-05,-14.524,7.7518e-09,8.1106
"mz_185.10164_&_RT_0.896",7.8961e-05,-13.629,1.0092e-08,7.996
"Asperterrestide A",13.907,3.7978,1.2947e-08,7.8878
"C28H40N3OPS",52.681,5.7192,1.4333e-08,7.8437
"1,5-Anhydro-2,3-dideoxy-4-O-[2-(dimethylamino)ethyl]-3-[(ethylsulfonyl)amino]-D-threo-pentitol",77.554,6.2771,1.5343e-08,7.8141
"Nicotinicacid",1.5882e-05,-15.942,2.5592e-08,7.5919
"11-Oxo-androsteroneglucuronide",503.33,8.9754,2.5592e-08,7.5919
"mz_112.0279_&_RT_17.601",97446,16.572,2.6377e-08,7.5788
"1-Boc-3-(aminomethyl)piperidine",324.22,8.3408,4.3174e-08,7.3648
"C9H20N6O6S2",1929.3,10.914,4.9494e-08,7.3055
"mz_186.82794_&_RT_0.837",0.00084057,-10.216,4.9494e-08,7.3055
"C10E4",132.92,7.0545,4.9494e-08,7.3055
"mz_544.51046_&_RT_0.837",0.018447,-5.7605,4.9494e-08,7.3055
"RAF265",376.07,8.5549,6.1981e-08,7.2077
"C9H21NO8",1621.3,10.663,8.2582e-08,7.0831
"[FAdioxo_hydrox]6_9-dioxo-11R_15S-dihydroxy-13E-prostenoicacid",292.97,8.1946,8.2582e-08,7.0831
"mz_190.00047_&_RT_17.397",1138.1,10.152,8.4432e-08,7.0735
"mz_131.01026_&_RT_0.733",586.31,9.1955,8.4432e-08,7.0735
"mz_236.22152_&_RT_7.605",1817.4,10.828,9.7127e-08,7.0127
"Pestalol D",0.0031431,-8.3136,1.0985e-07,6.9592
"mz_113.03416_&_RT_1.008",9.3932e-06,-16.7,2.1797e-07,6.6616
"MFCD00053868",69517,16.085,2.2202e-07,6.6536
"Stagonosporyne G",105.1,6.7157,2.2202e-07,6.6536
"1_8-Diazacyclotetradecane-2_9-dione",8198.9,13.001,2.2205e-07,6.6535
"C3H11N8PS",1975.4,10.948,2.2205e-07,6.6535
"mz_468.58083_&_RT_0.837",0.0077202,-7.0171,2.2205e-07,6.6535
"3,5-BIS(TRIFLUOROMETHYL)-1-PHENYLPYRAZOLE",3671.7,11.842,2.3229e-07,6.634
"C12H24ClN4O5P",98.728,6.6254,2.3229e-07,6.634
"mz_262.75757_&_RT_0.837",0.00093719,-10.059,2.3814e-07,6.6232
"Methylphenidate",165.35,7.3694,2.5527e-07,6.593
"N-heptanoyl homoserine lactone",207.69,7.6983,3.3905e-07,6.4697
"C19H44N5O8PS",41.188,5.3641,3.3905e-07,6.4697
"TC8400000",248.68,7.9581,3.4795e-07,6.4585
"F-11334-B1",0.0088775,-6.8156,3.4795e-07,6.4585
"(6Z,9S)-3,4-trans-9-hydroxy-3-methyldodec-6-en-4-olide",685.15,9.4203,3.4981e-07,6.4562
"C17H40N2O3P2S",54.238,5.7612,3.4981e-07,6.4562
"C3HClN6O10P2S",31.517,4.978,3.4981e-07,6.4562
"PALGLY",0.18453,-2.4381,3.4981e-07,6.4562
"(E)-2-Phenylethenamine",272.06,8.0878,3.5024e-07,6.4556
"C5H19N10OP",154.84,7.2746,4.2958e-07,6.367
"C6H10N10O2",1951.4,10.93,4.2987e-07,6.3667
"C29H39N2OPS",87.041,6.4436,4.2987e-07,6.3667
"(2Z)-2-Benzylidene-5,7-dimethyl-3,4-dihydro-1(2H)-naphthalenone",115.66,6.8537,4.3662e-07,6.3599
