"","FC","log2(FC)","p.ajusted","-log10(p)"
"mz_112.02786_&_RT_17.614",3.8954e-06,-17.97,1.4503e-16,15.839
"mz_169.98957_&_RT_17.676",4.6961e-05,-14.378,1.1391e-15,14.943
"C7H22N9O6P",0.00035156,-11.474,1.4035e-15,14.853
"2-Ethynyl-1-benzofuran",0.0046686,-7.7428,2.4682e-15,14.608
"C2H3N4P",1.7006e-05,-15.844,2.7668e-15,14.558
"1-{[1,2,4]triazolo[1,5-a]pyrimidine-2-carbonyl}-1H-imidazole",0.0033063,-8.2406,7.9908e-15,14.097
"2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine",0.063097,-3.9863,7.9908e-15,14.097
"mz_190.00047_&_RT_17.378",0.00034572,-11.498,8.58e-15,14.067
"C3H11N8PS",0.00029839,-11.711,1.1921e-14,13.924
"mz_236.22148_&_RT_7.628",0.00026286,-11.893,1.497e-14,13.825
"C10H4N8O2",0.00010024,-13.284,1.6123e-14,13.793
"C8H14N10S2",7.094e-05,-13.783,1.6655e-14,13.778
"N1-(4,4-diethyl-5-methylidene-1,3-thiazolan-2-yliden)-3-chloro-4-fluoroaniline",0.00013121,-12.896,1.6655e-14,13.778
"mz_104.50918_&_RT_17.375",0.0001753,-12.478,1.6655e-14,13.778
"C35H68N2O2P2",0.0047307,-7.7237,1.6995e-14,13.77
"Cyclopentadiene",0.00027345,-11.836,2.0452e-14,13.689
"C22H42ClN9S5",0.00085201,-10.197,2.0452e-14,13.689
"mz_57.03375_&_RT_0.96",1.696e-06,-19.169,2.8182e-14,13.55
"Methylphenidate",0.0031796,-8.297,3.0605e-14,13.514
"C4H8ClN6P",0.00064436,-10.6,3.6993e-14,13.432
"Ashimide A",0.00053763,-10.861,4.2364e-14,13.373
"C9H4ClO14PS",0.0051947,-7.5887,4.2892e-14,13.368
"C12H24ClN4O5P",0.0027977,-8.4815,5.4677e-14,13.262
"N-[3-Chloro-5-methoxy-4-(3-methylbutoxy)benzoyl]-O,2-dimethylserine",0.0056991,-7.4551,6.9812e-14,13.156
"C13H21N4OP",0.0068632,-7.1869,7.3601e-14,13.133
"mz_185.10164_&_RT_0.875",17042,14.057,1.8498e-13,12.733
"C4H9N8O5P",0.20908,-2.2578,2.2267e-13,12.652
"mz_190.0005_&_RT_17.471",1968.4,10.943,3.5987e-13,12.444
"C10H25N4P",0.0021579,-8.8561,4.8687e-13,12.313
"mz_131.01027_&_RT_0.734",0.00074746,-10.386,5.2611e-13,12.279
"N,N,N',N'-Tetraisobutylpentanediamide",0.0069543,-7.1679,5.2611e-13,12.279
"Fuzanin F",0.0023527,-8.7315,8.9517e-13,12.048
"(R)-Lactaldehyde",652480,19.316,1.1439e-12,11.942
"mz_104.50919_&_RT_17.472",4015.6,11.971,1.1439e-12,11.942
"mz_57.03374_&_RT_0.876",458580,18.807,1.3641e-12,11.865
"C14H27P3",0.0031139,-8.3271,1.3641e-12,11.865
