"","FC","log2(FC)","p.ajusted","-log10(p)"
"p-Xylene",479.98,8.9068,6.7165e-08,7.1729
"forchlorfenuron",0.0050198,-7.6382,1.3117e-07,6.8822
"Nipam",12118,13.565,1.9867e-07,6.7019
"C13H19N4P",15.78,3.98,3.6535e-07,6.4373
"2,3,8,9-tetrahydrocineromycin B",17.796,4.1535,3.7519e-07,6.4257
"N-Cyano-4-(1H-tetrazol-1-yl)benzamide",0.019329,-5.6931,9.7275e-07,6.012
"C7H22N9O6P",98.562,6.623,1.5251e-06,5.8167
"Boc-NH-PEG4-CH2CH2NH2",0.0017954,-9.1214,1.9458e-06,5.7109
"Seimatopolide B",43.594,5.4461,1.9458e-06,5.7109
"Rishitin",69.916,6.1276,6.0562e-06,5.2178
"2-Hydrazino-4-methoxy-6-(4-morpholinyl)-1,3,5-triazine",0.00021799,-12.163,1.0992e-05,4.9589
"PsiAβ",0.0015567,-9.3273,1.0992e-05,4.9589
"2-Hydroxy-3-oxopropanoate",254.24,7.99,1.0992e-05,4.9589
"2-Chloro-N-[1-(5-methyl-1,2,4-oxadiazol-3-yl)cyclohexyl]acetamide",64.345,6.0078,1.0992e-05,4.9589
"mz_113.0342_&_RT_1.044",6.6584e-05,-13.874,1.1835e-05,4.9268
"10E,14Z)-9-oxooctadeca-10,14-dien-12-ynoic acid",0.0040696,-7.9409,1.1835e-05,4.9268
"2-Hydroxyhepta-2_4-dienedioate",214.2,7.7428,1.1835e-05,4.9268
"VC",322.11,8.3314,1.5354e-05,4.8138
"Ethyl3-oxohexanoate",0.0032206,-8.2785,1.6903e-05,4.772
"Cyclopentenone",0.0009585,-10.027,1.7678e-05,4.7526
"4-[(E)-(4-Aminophenyl)diazenyl]-2-chlorophenol",102.84,6.6843,1.9529e-05,4.7093
"1-[(N-Acetylglycyl)(1,5-dimethyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)amino]-N-cyclohexylcyclohexanecarboxamide",94.727,6.5657,1.9529e-05,4.7093
"2-{1-[(TERT-BUTOXY)CARBONYL]AZETIDIN-3-YL}PROPANEDIOIC ACID",57.184,5.8375,1.9529e-05,4.7093
"mz_185.10162_&_RT_0.791",1413.1,10.465,1.9732e-05,4.7048
"4-Isobutyryl-N-(2-isopropyltetrahydro-2H-pyran-4-yl)-1,4-diazepane-1-carboxamide",930.61,9.862,2.2233e-05,4.653
"N-Methylpyrrolidone",6340.9,12.63,2.2729e-05,4.6434
"Choline",113330,16.79,2.2785e-05,4.6424
