"","FC","log2(FC)","p.ajusted","-log10(p)"
"SKF-86002",49.71,5.6355,1.4079e-26,25.851
"C10H11N3OP2",33.859,5.0815,1.4079e-26,25.851
"10-(3,4-Dichlorobenzoyl)-11-[4-(diethylamino)phenyl]-3-(4-fluorophenyl)-2,3,4,5,10,11-hexahydro-1H-dibenzo[b,e][1,4]diazepin-1-one",20.011,4.3227,1.4079e-26,25.851
"5-(4-Methylpiperazin-1-yl)-1H-1,2,4-triazol-3-amin",11.7,3.5484,6.4934e-25,24.188
"C9H7N2O2P",26.492,4.7275,5.4578e-24,23.263
"Choline",34159,15.06,1.2361e-22,21.908
"MFCD00053868",2314,11.176,1.2361e-22,21.908
"3-Ethyl-o-xylene",114.19,6.8353,1.1065e-21,20.956
"(4S)-4_6-Dihydroxy-2_5-dioxohexanoate",84.336,6.3981,1.192e-21,20.924
"4-Oxocyclohexanecarboxylate",14.96,3.9031,7.6968e-21,20.114
"C7H16ClN2PS2",0.019862,-5.6538,2.9456e-20,19.531
"8'-Hydroxyabscisate",10.877,3.4432,1.2314e-19,18.91
"3-hydroxy-N-(1-hydroxy-3-methylpentan-2-yl)-5-oxohexanamide",73.121,6.1922,3.2759e-19,18.485
"Ergonine",73.807,6.2057,7.6558e-19,18.116
"3-Amino-N-(3,4-dimethoxybenzyl)-6-methyl-4-(trifluoromethyl)-5,6,7,8-tetrahydrothieno[2,3-b]quinoline-2-carboxamide",42.712,5.4166,1.1583e-18,17.936
"Bhimamycin C",14.562,3.8642,2.4593e-18,17.609
"1,2-Divinylbenzene",206.33,7.6888,3.6e-18,17.444
"(2R_3S)-2_3-Dimethylmalate",85.702,6.4213,1.3344e-17,16.875
"[STtrihydrox]3alpha_11beta_21-5alpha-trihydroxy-pregnane-20-one",89.616,6.4857,1.6821e-17,16.774
"2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine",21.163,4.4035,1.7377e-17,16.76
"C8H14N10S2",0.0017959,-9.1211,4.9347e-17,16.307
"F1839-B",66.428,6.0537,1.7532e-16,15.756
"Alkyldihydropyrone B",26.324,4.7183,4.1637e-16,15.381
"Cyclooctene",351.55,8.4576,4.641e-16,15.333
"ProstaglandinF1a",67.032,6.0668,7.4106e-16,15.13
"Sebacicacid",26.98,4.7538,7.6211e-16,15.118
"p-dicyclohexylbenzene",0.019754,-5.6617,4.4527e-15,14.351
"5,7-Dihydroxy-3-(4-methoxyphenyl)-6,8-bis[(4-methyl-1-piperazinyl)methyl]-4H-chromen-4-one",72.46,6.1791,4.5208e-15,14.345
"Succinic anhydride",280.41,8.1314,9.2676e-15,14.033
"3-[(3-Hydroxydecanoyl)oxy]decanoic acid",10.111,3.3379,1.7086e-14,13.767
"3-Methoxy prostaglandin F1α",23.084,4.5288,2.0387e-14,13.691
"2-Cyclododecyl-1-(4-morpholinyl)ethanone",18.271,4.1915,2.0387e-14,13.691
"(+/-)-6-Hydroxy-3-oxo-alpha-ionone",16.876,4.0769,2.5451e-14,13.594
"Resorstatin",28.861,4.851,3.2006e-14,13.495
"Sulphureuine G",6.4731,2.6945,3.854e-14,13.414
"N-(2-Amino-2-oxoethyl)-N'-cyclododecylsuccinamide",0.00084759,-10.204,1.0336e-13,12.986
"1_4-Dihydroxy-2-naphthoate",19.509,4.2861,1.0336e-13,12.986
"MFCD00001109",23.674,4.5652,1.0676e-13,12.972
"3-Butyn-1-al",785.86,9.6181,2.1226e-13,12.673
"Takinolide seco-acid",51.624,5.69,3.5816e-13,12.446
"3-Hydroxy-2-methyl-4-pyrone",487.25,8.9285,3.7439e-13,12.427
"Deanol",49.271,5.6227,3.7439e-13,12.427
"Capsidiol",8.6721,3.1164,4.1136e-13,12.386
"3_6-Nonadienal",121.44,6.9241,4.5227e-13,12.345
"MFCD00054545",15.043,3.911,6.2342e-13,12.205
"Mollisinol A",14.267,3.8347,6.9253e-13,12.16
"C7H13N2O7P",57.519,5.846,7.2804e-13,12.138
"(R)-2_3-Dihydroxy-3-methylpentanoate",39.23,5.2939,7.4294e-13,12.129
"Trans-7,9-dihydroxy-3-methyl-8-oxo-dodecan-4-olide",10.835,3.4377,7.8321e-13,12.106
"C15H30N2O7",58.569,5.8721,7.9247e-13,12.101
"11-(4-Hydroxybutoxy)undecanehydrazide",17.896,4.1616,9.5814e-13,12.019
"Sclerotigenin",254.68,7.9925,1.2412e-12,11.906
"Alaremycin",501.32,8.9696,1.2728e-12,11.895
"Indoline",31.475,4.9761,1.4671e-12,11.834
"C12H29N4P",11.736,3.5528,1.5235e-12,11.817
"1,3,5-Norcaratriene",156.26,7.2878,1.6079e-12,11.794
"2E_6E-farnesol",13.042,3.7051,1.7279e-12,11.762
"1-Boc-4-Vinylpiperidine",31.89,4.995,2.2963e-12,11.639
"(2S)-2-Isopropyl-3-oxosuccinate",82.794,6.3715,2.473e-12,11.607
"(+)-Bornane-2_5-dione",153.46,7.2617,2.5323e-12,11.596
"2,3,8,9-tetrahydrocineromycin B",5.6627,2.5015,2.5882e-12,11.587
"4-O-methylmelleolide",2889.1,11.496,2.8587e-12,11.544
"p-Xylene",98.094,6.6161,3.1493e-12,11.502
"Nicotinicacid",0.00020646,-12.242,3.3992e-12,11.469
"1_2-Dihydrosantonin",10.716,3.4217,4.0428e-12,11.393
"1,3,5-Heptatriene",465.06,8.8613,4.0635e-12,11.391
"Asenjonamide B",14.76,3.8836,4.9147e-12,11.309
"Icaridin",30.219,4.9174,7.1185e-12,11.148
"Dinemasone A",263.22,8.0401,1.0107e-11,10.995
"Dendryphiellic acid A",351.57,8.4577,1.362e-11,10.866
"2,10-dimethyl 4-hydroxy-6-oxo-4-undecen-7-yne",49.523,5.63,1.4241e-11,10.846
"Pseudopyronine B",20.536,4.3601,1.5698e-11,10.804
"Hexanoylcarnitine",34.963,5.1278,1.8802e-11,10.726
"1-deoxynojirimycin",89.25,6.4798,2.3939e-11,10.621
"Furfuranol",774.05,9.5963,3.0671e-11,10.513
"1,5-Pentanedithiol",2750.2,11.425,3.2074e-11,10.494
"Sulcatone",497.41,8.9583,4.3216e-11,10.364
"Diroxamel fumarate",15.43,3.9477,4.8583e-11,10.314
