"name","area_2_1_15_S25_noOTA","area_2_2_15_S25_noOTA","area_2_3_15_S25_noOTA","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA"
"group","cA_S25","cA_S25","cA_S25","cA_S17","cA_S17","cA_S17"
"(-)-alpha-Cedrene","117804.695526376","186326.962905947","126746.583541452","451968.945834295","364159.885887661","412949.899127151"
"(-)-Jasmonicacid","1673338.44897452","2165463.16469501","2373910.6013073","250334.696822807","313075.110464672","507137.189741449"
"(-)-trans-Carveol","1783639.57771106","2509491.9897687","2206459.58907019","1350949.91296181","1337676.13266446","1111636.53504501"
"(±)13-HpODE","2078076.67966931","2691084.99841889","2022857.88915653","2511155.30118376","2860018.09812367","2689821.91906376"
"(1S,2S)-3-oxo-2-pentylcyclopentane-1-octanoic acid","4646161.00029768","5836945.85926452","6422006.90108537","3949869.58370244","3140126.49030583","5252311.29157904"
"(2E,4E)-2-methyl-hexa-2,4-dienoic acid (2'R,3'S)-allo-isoleucinol amide","12400911.0605874","16236717.9451719","2491308.68713255","5682026.51877276","5614931.7998935","8247139.53273486"
"(3R)-beta-Leucine","31078410.9236931","46693101.1049867","23656389.5824253","23792521.6544524","15064949.0818529","19406162.2650429"
"(4E)-2-Oxohexenoicacid","6140098.0345145","16758497.9178895","10914272.9122376","19813712.7179932","22940854.5567244","24521438.5155497"
"(6RS,10RS)-6,10-dimethylbicyclo[4.4.0]dec-1-en-3-one","619233.902210582","700258.685217775","677640.46534211","746982.350168263","542532.705542893","929377.078629349"
"(7S_8S)-DiHODE","5729767.91802483","7529551.3360449","5872615.2034255","5237587.48167533","5500436.96880075","5895607.08252887"
"(9Z)-(13S)-12_13-Epoxyoctadeca-9_11-dienoicacid","16908664.4783792","22980843.03616","22020455.3942138","12692769.9479497","12379582.9319459","16628217.8906418"
"(9Z)-Tetradecenoicacid","610402.145459778","908531.685949464","701533.803058823","951013.410361832","703529.535806569","1217214.84681446"
"(9Z_15Z)-(13S)-12_13-Epoxyoctadeca-9_11_15-trienoicacid","2578983.0149478","4758897.03530881","4291480.413797","2818640.16843378","3208781.59973617","3171917.12510013"
"(R)-2-Hydroxyglutarate","52675480.6536701","54428257.4279751","58303572.3592157","47259297.3117674","45065227.8762598","45451549.3711652"
"(R)-4-Dehydropantoate","1459202.39201933","2137332.49425681","1531025.24845861","1040135.25551726","1028443.01792366","1185746.24247807"
"(R_R)-Tartaricacid","865288.305527314","1458859.14910233","964033.410119165","434859.480522078","779395.207519587","876388.532704199"
"(S)-Carnitine","48461800.2852857","94958967.066509","43332197.862047","26831845.7835256","18754046.7505575","25712517.8850941"
"(S)-Malic acid-1-O-beta-D-glucopyranoside","17161611.5965044","15656183.2524613","16318791.1867831","19325157.200785","18557705.3678808","17953150.1303178"
"?-(Methylenecyclopropyl)glycine","41283049.3296595","62225932.6572731","35361999.3242156","9138931.09454071","5771465.47148172","6480604.60103569"
"[FA(18:0)]12R_13S-epoxy-9Z-octadecenoicacid","8182757.47659168","9885445.60790621","8996577.75179713","6210219.24539554","5330275.40860545","8250250.63924205"
"[FA(18:1)]9Z-Octadecen-12-ynoicacid","45312227.827121","60053229.9693779","54153812.2299493","47429798.4858684","41051050.5862797","54465689.1901057"
"[FA(18:2)]9Z_11E-octadecadienoicacid","10850240.3259529","19506938.5494518","16982180.3139341","16120433.9373331","18433374.7265872","33902385.6443924"
"[FA(18:4)]6Z_9Z_12Z_15Z-octadecatetraenoicacid","25092658.3895041","34532053.8712843","27830847.4480437","30001991.7592451","30412200.9769716","32984767.830681"
"[FAhydroxy(18:0)]12_13-dihydroxy-9Z-octadecenoicacid","4827802.88696036","5550499.67364488","3788300.36835869","16781282.182742","12245279.7135262","17222584.9152443"
"[FAtrihydroxy(18:0)]9_10_13-trihydroxy-11-octadecenoicacid","1301009.52506613","1451622.63292491","1249953.92478476","1480834.5574693","1207272.85797196","1602964.92003323"
"1-(4-Hydroxyphenyl)-2-aminoethanol","16680550.5293646","28075380.9005207","17500059.8108095","67795363.4921691","70021843.8927846","92846590.1548655"
"1-(Dimethylsilyl)-1H-pyrrole","787296596.172802","833382193.136507","828493682.296224","766380724.975262","773888592.466837","755894379.543855"
"1-[(3R,4R)-3-(1-Azepanylmethyl)-4-(hydroxymethyl)-1-pyrrolidinyl]-2-hydroxyethanone","113312.033912586","167295.812516559","85109.2312357543","253567.379508446","410855.047060635","455944.779186923"
"1-[(5-Chloro-2-thienyl)sulfonyl]-4-piperidinone","50452.2099447143","45841.4457242965","43541.9565564764","27889.1213970049","30438.2936977284","29666.2301748697"
"1-Boc-4-Vinylpiperidine","527601.254222434","771372.48438128","280972.828523999","327121.867988462","439804.932871238","645195.917477471"
"1-Cyclooctyl-4-phenyl-1-butanone","387963.676630229","638140.574256169","382874.940294797","489289.382604814","491445.338713828","541553.712465592"
"1-Methylpyrrolinium","2625796.4810673","3247816.48406325","2545818.63490904","3976844.80461089","3103049.7897666","3780365.23021195"
"1-O-Acetyl-D-glucitol","92804.1653556612","133130.120916278","125693.64150097","168831.373044327","204409.29427124","150816.809828955"
"1-Palmitoyl-2-hydroxy-sn-glycero-3-PE","306051.84437984","518951.503693871","331528.05770221","533839.602964297","289248.858202617","383785.228575689"
"1-palmitoylglycerol;MAG(16:0)","2665199.14405764","3468489.51765096","3965221.23426722","1536318.94203184","928090.571178616","2158305.37571412"
"1-Pyrroline","4181868.14860145","6282043.1886196","4062520.10226313","3392156.81022751","2517504.68493848","3249691.11015878"
"1-Pyrroline-4-hydroxy-2-carboxylate","1827186.39623201","2221233.17829328","1024942.41391965","581046.900829623","1414024.13075893","1333710.8716842"
"1(2H)-Isoquinolinone","9255113.06452714","14490694.5273957","10200239.0836058","15179558.0594424","11744233.8598402","15760914.2018076"
"1,3,6-Octatriene","29249598.8878497","39482998.9219965","39234647.1742993","21970826.1500997","28012316.1749002","31483303.4908139"
"1_2_4-Trimethylbenzene","316369.050341856","380748.09168277","319522.85257253","389674.315163968","426806.118623022","392755.458404532"
"1_6_6-Trimethyl-2_7-dioxabicyclo[3.2.2]nonan-3-one","223402.619277897","334501.217925081","226438.365502719","268098.921577656","259257.037331519","311384.426125511"
"10-(3,4-Dichlorobenzoyl)-11-[4-(diethylamino)phenyl]-3-(4-fluorophenyl)-2,3,4,5,10,11-hexahydro-1H-dibenzo[b,e][1,4]diazepin-1-one","342061.007114459","344727.409140085","338975.809516527","375683.348738495","380301.028742068","345222.987249105"
