"name","area_8_1_15_S25_noOTA","area_8_2_15_S25_noOTA","area_8_3_15_S25_noOTA","area_8_1_15_S17_OTA","area_8_2_15_S17_OTA","area_8_3_15_S17_OTA"
"group","cB_noOTA_S25","cB_noOTA_S25","cB_noOTA_S25","cB_OTA_S17","cB_OTA_S17","cB_OTA_S17"
"(-)-alpha-Cedrene","764640.463546943","898184.800575677","752083.4730428","737449.428883697","881649.674339664","765691.225959968"
"(-)-Isopiperitenone","2250399.27956299","3143035.4947369","1931840.7495733","4685841.81482654","6194943.40169311","5892856.56903151"
"(-)-jasmonic acid","311227.134374302","791728.530968855","775224.035792625","295907.093816223","455283.324311917","420617.85163248"
"(-)-monascumic acid","363826.256338157","500922.342086307","310280.402678021","223338.178102684","282486.674542771","322619.260121087"
"(-)-trans-Carveol","1524751.240461","1965245.83001233","1376198.30112231","2452446.97707213","2314245.21048602","2755154.17089038"
"(+)-Bornane-2_5-dione","2116760.45814937","2513416.20747126","1751915.14769964","2601163.50276253","2882331.60994291","2118348.50323632"
"(+)-exo-5-Hydroxycamphor","994580.985273113","1386609.31880682","897340.055543496","1937646.48023458","2503260.1843936","2440286.04676602"
"(+/-)-6-Hydroxy-3-oxo-alpha-ionone","261542.539852002","529060.34520856","447993.334219916","335039.060095881","513081.86397119","444833.649605109"
"(1E)-5-hydroxy-1,7-diphenylhept-1-en-3-one","403532.805383612","663223.752952209","631515.761888945","336731.626562424","655819.457299016","524829.692037087"
"(2E,4E)-2-methyl-hexa-2,4-dienoic acid (2'R,3'S)-allo-isoleucinol amide","4985145.55006968","18779547.1898309","3537163.39615905","8693007.51344413","13534283.6990456","7919001.14483977"
"(2R,9R)-(+)-microdiplodiasone","115689.60832388","222982.940825108","183923.703265759","644212.293296571","886353.145643953","802313.464710842"
"(2R_3S)-2_3-Dimethylmalate","1173883.54163579","1407286.46590948","1576804.38078126","955389.739312668","1033558.20365185","966037.715668169"
