"name","area_2_1_15_J17_noOTA","area_2_2_15_J17_noOTA","area_2_3_15_J17_noOTA","area_2_1_15_J25_noOTA","area_2_2_15_J25_noOTA","area_2_3_15_J25_noOTA","area_10_1_15_J17_OTA","area_10_2_15_J17_OTA","area_10_3_15_J17_OTA","area_10_1_15_J25_OTA","area_10_2_15_J25_OTA","area_10_3_15_J25_OTA"
"group","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA"
"(-)-alpha-Cedrene","242809.843387389","221805.806095131","193470.395819022","721965.165819302","550345.959689662","415422.413977638","1266222.0466484","1316310.08937894","1187779.46034358","3353742.19095685","3118526.46576206","3935262.80537422"
"(-)-Isopiperitenone","3959083.10493012","3369898.59555257","2846364.91718212","2142699.46085958","1308028.47132474","1116723.03498545","15418005.3585055","15420088.8441607","16964073.317652","8290506.19942253","5286359.26491775","1722970.86566574"
"(-)-Jasmonicacid","3449311.43449516","5522537.18987055","3083300.87741628","179724.940418193","218157.084858801","195587.858264399","124539.484228257","83376.9293199426","110590.64212896","519057.860239608","203668.865532155","1554342.19736735"
"(-)-monascumic acid","6828024.55021621","4300179.34153352","2635500.34186145","2952939.45933998","2805783.0027012","3707960.98184049","2368666.44661111","5185291.46575309","4224621.14976185","1727797.09542602","1738367.01308186","3346034.99813657"
"(-)-trans-Carveol","652822.475886989","526801.841649776","479060.282525937","1872175.58128388","1215974.06779967","1099823.14503309","4711079.28449779","4018155.51534116","4081717.03666695","2731342.54165622","1393551.0093886","1151380.85107511"
"(+)-Bornane-2_5-dione","1604644.16648903","2040110.35789315","1131784.7326631","2033614.72940506","1478409.06504426","1572103.12322095","4644571.21972241","3097529.02938311","6877742.76560023","2992148.1395233","2269751.28451569","1826969.38327285"
"(+)-ethyl homononactate","106687.613421316","135833.622498245","99093.1161742547","112479.516554758","164379.968802252","141768.85450593","387478.530563926","429762.967171225","278560.923289279","127557.26370785","85251.5928365455","97753.6791208302"
"(+)-exo-5-Hydroxycamphor","2940279.2988182","2435128.66566418","2137172.60547319","1271830.44998703","1096737.17771522","906571.795317597","5869629.35693793","5575428.49371256","6190498.3558284","3386619.34933406","2239469.10931343","823144.863561046"
"(1E)-5-hydroxy-1,7-diphenylhept-1-en-3-one","9845.04048065529","12496.8554914165","8419.75999662824","9321.74048827947","9054.41179982458","14321.4566115699","60525.7402384266","42969.1854229057","31258.7764190628","923152.652621011","320064.745544161","2104215.0596601"
"(1S,2R)-3-oxo-2-pentylcyclopentane-1-butyric acid","2489442.22976361","2354458.74817444","1753462.29907914","492742.345571157","1055476.05841867","910730.342672886","320546.805494555","290160.953908664","324948.056723389","646677.401810299","265023.921715557","547226.886190374"
"(1S,2R,8aS)-1,2-Dihydroxyindolizidine","149828.535839494","331866.609702001","157214.157773167","344227.858781688","143959.985475873","206242.828608649","1286786.91693668","1263363.64234444","3156309.01867954","613737.726990439","513369.755570629","796321.003522998"
"(1S_3R_4S)-3_4-Dihydroxycyclohexane-1-carboxylate","19883.1948543368","31519.2145007153","22762.1889825467","128743.290153764","120882.220966771","50556.4255296988","1393199.03196799","1365955.11311437","758242.51190358","2641817.22070744","2430234.5788189","3414797.98876226"
"(2E,4E)-2-methyl-hexa-2,4-dienoic acid (2'R,3'S)-allo-isoleucinol amide","5866457.38349085","9478667.16765162","6448725.4090768","6057325.04494602","15733837.217496","13575423.1993471","10567655.7883083","2742785.38696375","11055689.6418163","7290244.69281274","10148679.6607385","7758898.98107268"
"(2E,4E)-N-Isobutyl-2,4-octadecadienamide","254747.232210117","360876.158153886","294874.292160167","188466.064704763","588411.178682779","301499.922852638","600249.56589652","178994.519034635","535951.233488559","219741.251874664","935181.888318335","161595.790773468"
"(2E_6E)-(10R_11S)-10_11-Epoxy-3_7_11-trimethyltrideca-2_6-dienoicacid","3060754.32037285","2470913.84825646","1794888.32248622","533776.176402406","1188002.48560443","1078694.43808742","138981.193665369","140352.823126228","227252.269391505","575359.809826291","448750.462121999","427155.896678924"
"(2R_3S)-2_3-Dimethylmalate","888583.356166351","820050.522847844","840600.622829191","1774558.90507891","1553609.97401161","1511881.18234701","1657288.15090836","1731654.86119486","1431039.64370975","2818299.48465965","1962794.27965486","2821433.68266308"
"(2R_4S)-2_4-Diaminopentanoate","180879.212056898","45567.264517544","97404.4344677813","98243.5671667355","55989.5545475582","445701.945150262","153334.080748528","86788.8664830165","243284.501771192","112161.481230008","34820.6511189981","524638.929472702"
"(2S)-2-{[1-(R)-Carboxyethyl]amino}pentanoate","688474.311498682","2101316.27860671","593133.748867297","2101027.78275592","834490.148142043","1291460.5399374","680097.313660301","1255430.0837012","1072929.68083175","2389218.18848472","911124.507617538","5547028.29842085"
"(2S)-2-Isopropyl-3-oxosuccinate","1996590.111753","1132510.95014666","1831512.29763205","372334.484973537","973946.507046606","892585.730069413","1530209.90736203","2110332.61262208","1741963.89192524","1720099.85640846","839177.009780439","1063662.34160263"
"(2Z)-2-[1-(2,4-Dichloro-5-fluorophenyl)ethylidene]hydrazinecarbothioamide","96855.3171556071","82471.7790769577","92706.5495601241","82311.9245446781","68467.6435259175","83289.9454047293","118516.230461397","124967.507752468","104234.957947921","116366.737323235","80429.3103005752","100504.571967429"
"(3-Amino-4-methoxyphenyl)(4-methyl-1-piperazinyl)methanone","4275.78000843484","4215.31717285495","4240.0231546791","4487.73083332404","4445.2815816837","4584.00171534129","461291.074201482","410605.148851241","395503.455069902","3311914.03644443","1441478.48767236","690001.214818425"
"(3alpha,5alpha,9xi,14xi,25R)-Spirostan-3-yl nonanoate","2353687.4523796","2232145.15980314","1667630.55579225","212715.36037623","98923.5548939191","151150.061260865","61506.5417231863","36532.8191303761","57168.4866064833","141374.471024147","30227.2300034897","703568.483423101"
"(3R)-beta-Leucine","61123707.8991463","50117537.0234826","45103616.0332184","34788818.587737","24778904.5023982","33080810.8321894","24216845.8574095","32664694.9318972","40864549.9484457","48878438.9626755","22705231.6610539","17109458.0379538"
"(3R,4S,bR)-3,4,4a,5,6,7-Hexahydro-4,8-dihidroxy-3-methyl-1H-2-benzopyran-1-one","7514.90071748157","11537.0867946841","4547.87937498335","121873.008935498","132227.770959864","95910.8393717291","46336.0153186101","34983.7100757375","45570.4331285459","75013.9956750097","53401.6392160094","45541.3864881178"
"(3S)-3_6-Diaminohexanoate","271421.177680076","88856.4031260339","68731.8651599219","84910.3903243706","62166.9148250147","462309.610871743","3255465.32379452","82829.7907032656","112311.789754708","83429.1173355324","43630.9250481971","132339.076011438"
"(4E)-2-Oxohexenoicacid","17269160.6630015","12791508.6627834","11926957.1501478","67155760.3352083","55966686.235995","40865676.4114019","140130493.909485","166993603.099847","140495209.234715","80021057.6586769","79794885.3235453","99903274.5313338"
"(4S)-4,8,10-trihydroxy-10-methyldodec-2-en-1,4-olide","42363.5182407269","53213.3234012387","32297.6162113581","13935.8454647456","17161.2047736196","3168.65256852477","491237.558311566","697968.886096059","461793.531355324","193854.033996429","155405.370684397","75776.4122535479"
