"name","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA","area_8_1_15_S17_OTA","area_8_2_15_S17_OTA","area_8_3_15_S17_OTA"
"group","cE_noOTA","cE_noOTA","cE_noOTA","cE_OTA","cE_OTA","cE_OTA"
"(-)-alpha-Cedrene","451968.945834295","364159.885887661","412949.899127151","737449.428883697","881649.674339664","765691.225959968"
"(-)-trans-Carveol","1350949.91296181","1337676.13266446","1111636.53504501","2452446.97707213","2314245.21048602","2755154.17089038"
"(2E,4E)-2-methyl-hexa-2,4-dienoic acid (2'R,3'S)-allo-isoleucinol amide","5682026.51877276","5614931.7998935","8247139.53273486","8693007.51344413","13534283.6990456","7919001.14483977"
"(3R)-beta-Leucine","23792521.6544524","15064949.0818529","19406162.2650429","15634216.8106975","17542824.0878172","29111219.9852673"
"(4E)-2-Oxohexenoicacid","19813712.7179932","22940854.5567244","24521438.5155497","30253024.9245987","45015017.9278293","43692837.8339057"
"(6RS,10RS)-6,10-dimethylbicyclo[4.4.0]dec-1-en-3-one","746982.350168263","542532.705542893","929377.078629349","154642.802038978","182057.597439248","173014.16885304"
"(7S_8S)-DiHODE","5237587.48167533","5500436.96880075","5895607.08252887","3797204.7962469","3950483.06709247","4735645.80455521"
"(9Z)-(13S)-12_13-Epoxyoctadeca-9_11-dienoicacid","12692769.9479497","12379582.9319459","16628217.8906418","27377067.1075851","28482938.4065997","27030247.4272542"
"(9Z)-Tetradecenoicacid","951013.410361832","703529.535806569","1217214.84681446","694991.233358","1123736.12701871","1067701.6385214"
"(9Z_15Z)-(13S)-12_13-Epoxyoctadeca-9_11_15-trienoicacid","2818640.16843378","3208781.59973617","3171917.12510013","4879330.07734983","4749652.8276998","4408131.97794735"
"(R)-2-Hydroxyglutarate","47259297.3117674","45065227.8762598","45451549.3711652","55215428.4165213","55148190.3089592","56042946.6160345"
"(R)-4-Dehydropantoate","1040135.25551726","1028443.01792366","1185746.24247807","12180172.0830242","16222599.6233085","16162810.4152758"
"(R_R)-Tartaricacid","434859.480522078","779395.207519587","876388.532704199","959824.698399902","1597652.15089233","1637448.19351512"
"(S)-Malic acid-1-O-beta-D-glucopyranoside","19325157.200785","18557705.3678808","17953150.1303178","18481648.4521204","19282613.9943811","18896370.6504043"
"[FA(18:0)]12R_13S-epoxy-9Z-octadecenoicacid","6210219.24539554","5330275.40860545","8250250.63924205","9961782.65203407","13352441.2316637","12312688.7898071"
"[FA(18:1)]9Z-Octadecen-12-ynoicacid","47429798.4858684","41051050.5862797","54465689.1901057","41720266.9049168","48736271.1284189","46634960.5734348"
"[FA(18:2)]9Z_11E-octadecadienoicacid","16120433.9373331","18433374.7265872","33902385.6443924","8712463.73556118","13952661.346497","12959799.2596854"
"[FA(18:4)]6Z_9Z_12Z_15Z-octadecatetraenoicacid","30001991.7592451","30412200.9769716","32984767.830681","26624152.1536929","25586270.0689204","22001747.3469195"
