"name","area_2_1_15_S25_noOTA","area_2_2_15_S25_noOTA","area_2_3_15_S25_noOTA","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA"
"group","cA_S25","cA_S25","cA_S25","cA_S17","cA_S17","cA_S17"
"(-)-alpha-Cedrene","117804.695526376","186326.962905947","126746.583541452","451968.945834295","364159.885887661","412949.899127151"
"(-)-Jasmonicacid","1673338.44897452","2165463.16469501","2373910.6013073","250334.696822807","313075.110464672","507137.189741449"
"(-)-monascumic acid","200290.228485454","287776.224177571","268447.635896115","4798.92202729852","4798.92202729852","4798.92202729852"
"(-)-trans-Carveol","1783639.57771106","2509491.9897687","2206459.58907019","1350949.91296181","1337676.13266446","1111636.53504501"
"(+)-(R,2E,4Z)-7-(4'-(dimethylamino)phenyl)-4,6-dimethyl-7-oxohepta-2,4-dienoic acid","2977812.67193235","3628675.2908414","3742105.04443272","4798.92202729852","4798.92202729852","4798.92202729852"
"(+)-epogymnolactam","330809.244790938","584471.717872202","193696.651447125","4798.92202729852","4798.92202729852","4798.92202729852"
"(+/-)-6-Hydroxy-3-oxo-alpha-ionol","246787.606940896","267530.218444562","311209.042738703","4798.92202729852","4798.92202729852","4798.92202729852"
"(+/-)-6-Hydroxy-3-oxo-alpha-ionone","872418.779500847","973978.548719228","839174.357712847","4798.92202729852","4798.92202729852","4798.92202729852"
"(±)13-HpODE","2078076.67966931","2691084.99841889","2022857.88915653","2511155.30118376","2860018.09812367","2689821.91906376"
"(1,1-Dioxido-3-thietanyl)acetic acid","904298.630150795","1684712.31760501","955241.859037417","4798.92202729852","4798.92202729852","4798.92202729852"
"(11S,12S,13R)-11,13-dihydroxy-12-methyltetradecanoic acid","67392.0412463008","77417.5264477735","89302.9605143245","4798.92202729852","4798.92202729852","4798.92202729852"
"(1RS,6SR,10SR)-6,10-dimethylbicyclo[4.4.0]decan-3-one","4798.92202729852","4798.92202729852","4798.92202729852","427919.432395526","336187.20110036","507356.099637467"
"(1S,2R)-3-oxo-2-pentylcyclopentane-1-butyric acid","4798.92202729852","4798.92202729852","4798.92202729852","644631.087096501","493609.617978595","843537.657148334"
"(1S,2S)-3-oxo-2-pentylcyclopentane-1-octanoic acid","4646161.00029768","5836945.85926452","6422006.90108537","3949869.58370244","3140126.49030583","5252311.29157904"
"(1S,2S,3R)-4-hydroxymethylcyclopent-4-ene-1,2,3-triol","4798.92202729852","4798.92202729852","4798.92202729852","632301.632248407","649117.125275486","743284.381860339"
"(2E,4E)-2-methyl-hexa-2,4-dienoic acid (2'R,3'S)-allo-isoleucinol amide","12400911.0605874","16236717.9451719","2491308.68713255","5682026.51877276","5614931.7998935","8247139.53273486"
"(2E,4E)-N-Isobutyl-2,4-octadecadienamide","347592.996075645","499367.348834995","80775.8442120268","4798.92202729852","4798.92202729852","4798.92202729852"
"(2Z)-2-Benzylidene-5,7-dimethyl-3,4-dihydro-1(2H)-naphthalenone","83947.5804222812","76015.1030491026","65088.2174819481","4798.92202729852","4798.92202729852","4798.92202729852"
"(3R)-beta-Leucine","31078410.9236931","46693101.1049867","23656389.5824253","23792521.6544524","15064949.0818529","19406162.2650429"
"(3R,4S)-4-(Carbamoylamino)tetrahydro-3-thiophenyl acetate","4798.92202729852","4798.92202729852","4798.92202729852","749336.933165382","839781.338791349","949556.502594604"
"(3S*,4S*)-3,4-dihydroxy-7-methyl-3,4-dihydro-1(2H)-naphthalenone","80255.697442633","102883.012555664","95662.007223735","4798.92202729852","4798.92202729852","4798.92202729852"
"(4E)-2-Oxohexenoicacid","6140098.0345145","16758497.9178895","10914272.9122376","19813712.7179932","22940854.5567244","24521438.5155497"
"(4R,6R)-t-Butyl-6-(2-aminoethyl)-2,2-dimethyl-1,3-dioxane-4-acetate","217391.946253569","216348.258505508","217467.141653613","4798.92202729852","4798.92202729852","4798.92202729852"
"(6RS,10RS)-6,10-dimethylbicyclo[4.4.0]dec-1-en-3-one","619233.902210582","700258.685217775","677640.46534211","746982.350168263","542532.705542893","929377.078629349"
"(6Z)-Octadecenoicacid","699111.109390542","722709.089347675","1274431.88596679","4798.92202729852","4798.92202729852","4798.92202729852"
"(7S_8S)-DiHODE","5729767.91802483","7529551.3360449","5872615.2034255","5237587.48167533","5500436.96880075","5895607.08252887"
"(9S_10S)-9_10-Dihydroxyoctadecanoate","4798.92202729852","4798.92202729852","4798.92202729852","282201.955583736","224483.702466425","374671.809566835"
"(9Z)-(13S)-12_13-Epoxyoctadeca-9_11-dienoicacid","16908664.4783792","22980843.03616","22020455.3942138","12692769.9479497","12379582.9319459","16628217.8906418"
"(9Z)-Tetradecenoicacid","610402.145459778","908531.685949464","701533.803058823","951013.410361832","703529.535806569","1217214.84681446"
"(9Z_15Z)-(13S)-12_13-Epoxyoctadeca-9_11_15-trienoicacid","2578983.0149478","4758897.03530881","4291480.413797","2818640.16843378","3208781.59973617","3171917.12510013"
"(R)-2-Hydroxyglutarate","52675480.6536701","54428257.4279751","58303572.3592157","47259297.3117674","45065227.8762598","45451549.3711652"
"(R)-2_3-Dihydroxy-3-methylpentanoate","811200.370486427","1091343.29598133","510313.998282762","4798.92202729852","4798.92202729852","4798.92202729852"
"(R)-3-Amino-2-methylpropanoate","4798.92202729852","4798.92202729852","4798.92202729852","2078729.72877766","837645.276659435","2348726.29703419"
"(R)-4-Dehydropantoate","1459202.39201933","2137332.49425681","1531025.24845861","1040135.25551726","1028443.01792366","1185746.24247807"
"(R)-Coclaurine","50234468.838979","63716312.7976223","61952536.0868141","4798.92202729852","4798.92202729852","4798.92202729852"
"(R)-Malate","282035.643198184","254062.085324684","221869.677622747","4798.92202729852","4798.92202729852","4798.92202729852"
"(R)-Norcoclaurine","564179.772702151","673069.040864004","579266.616699431","4798.92202729852","4798.92202729852","4798.92202729852"
"(R_R)-Tartaricacid","865288.305527314","1458859.14910233","964033.410119165","434859.480522078","779395.207519587","876388.532704199"
"(S)-Carnitine","48461800.2852857","94958967.066509","43332197.862047","26831845.7835256","18754046.7505575","25712517.8850941"
"(S)-Malic acid-1-O-beta-D-glucopyranoside","17161611.5965044","15656183.2524613","16318791.1867831","19325157.200785","18557705.3678808","17953150.1303178"
"(S)-N-tetradecanoyl-HSL","4798.92202729852","4798.92202729852","4798.92202729852","186850.041391511","148169.440146801","194126.098484144"
"(Z)-N-16-hydroxyhexadec-9-enoyl-L-alanine methyl ester","25865.5656596872","40625.0447415108","31667.0368960434","4798.92202729852","4798.92202729852","4798.92202729852"
