"name","area_2_1_15_J17_noOTA","area_2_2_15_J17_noOTA","area_2_3_15_J17_noOTA","area_2_1_15_J25_noOTA","area_2_2_15_J25_noOTA","area_2_3_15_J25_noOTA","area_10_1_15_J17_OTA","area_10_2_15_J17_OTA","area_10_3_15_J17_OTA","area_10_1_15_J25_OTA","area_10_2_15_J25_OTA","area_10_3_15_J25_OTA"
"group","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_noOTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA","cC_OTA"
"(-)-alpha-Cedrene","242809.843387389","221805.806095131","193470.395819022","721965.165819302","550345.959689662","415422.413977638","1266222.0466484","1316310.08937894","1187779.46034358","3353742.19095685","3118526.46576206","3935262.80537422"
"(-)-beta-Pinene","631237.117226545","544193.628130109","485559.627430466","283503.733712394","159758.303756133","212021.344770173","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606"
"(-)-Isopiperitenone","3959083.10493012","3369898.59555257","2846364.91718212","2142699.46085958","1308028.47132474","1116723.03498545","15418005.3585055","15420088.8441607","16964073.317652","8290506.19942253","5286359.26491775","1722970.86566574"
"(-)-Jasmonicacid","3449311.43449516","5522537.18987055","3083300.87741628","179724.940418193","218157.084858801","195587.858264399","124539.484228257","83376.9293199426","110590.64212896","519057.860239608","203668.865532155","1554342.19736735"
"(-)-monascumic acid","6828024.55021621","4300179.34153352","2635500.34186145","2952939.45933998","2805783.0027012","3707960.98184049","2368666.44661111","5185291.46575309","4224621.14976185","1727797.09542602","1738367.01308186","3346034.99813657"
"(-)-trans-Carveol","652822.475886989","526801.841649776","479060.282525937","1872175.58128388","1215974.06779967","1099823.14503309","4711079.28449779","4018155.51534116","4081717.03666695","2731342.54165622","1393551.0093886","1151380.85107511"
"(+)-Bornane-2_5-dione","1604644.16648903","2040110.35789315","1131784.7326631","2033614.72940506","1478409.06504426","1572103.12322095","4644571.21972241","3097529.02938311","6877742.76560023","2992148.1395233","2269751.28451569","1826969.38327285"
"(+)-ethyl homononactate","106687.613421316","135833.622498245","99093.1161742547","112479.516554758","164379.968802252","141768.85450593","387478.530563926","429762.967171225","278560.923289279","127557.26370785","85251.5928365455","97753.6791208302"
"(+)-ethyl homononactyl nonactate","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","112807.581022593","113217.304057066","98933.2342193716","81084.3787508142","89568.304535518","111163.870745477"
"(+)-exo-5-Hydroxycamphor","2940279.2988182","2435128.66566418","2137172.60547319","1271830.44998703","1096737.17771522","906571.795317597","5869629.35693793","5575428.49371256","6190498.3558284","3386619.34933406","2239469.10931343","823144.863561046"
"(+)-Flavipucine","333046.966593345","1266483.86416186","373812.294660841","1209358.99644","415396.307433122","662636.589372681","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606"
"(+/-)-6-Hydroxy-3-oxo-alpha-ionone","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","314606.585821379","260608.478839355","302972.791555087","257106.120502625","262068.250177486","270524.628963423"
"(11S,12S,13R)-11,13-dihydroxy-12-methyltetradecanoic acid","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","37505.6057917436","43945.7670418397","27672.0606490492","36378.1464224295","25940.8710524157","53352.4621346678"
"(15R,18R,21S)-18-Isobutyl-15,21-dimethyl-11-[(1-oxo-2,3-dihydro-1H-inden-4-yl)carbonyl]-2-phenyl-7,8,9,10,11,12,14,15,17,18,20,21-dodecahydro-5H-[1,2,4]triazolo[1,5-d][1,4,7,10,13,16]hexaazacyclononad
ecine-6,13,16,19-tetrone","3157.44453765392","3066.98169480095","3216.62128974523","3301.51141118808","3100.58075577587","3077.88999459174","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606"
"(1E)-5-hydroxy-1,7-diphenylhept-1-en-3-one","9845.04048065529","12496.8554914165","8419.75999662824","9321.74048827947","9054.41179982458","14321.4566115699","60525.7402384266","42969.1854229057","31258.7764190628","923152.652621011","320064.745544161","2104215.0596601"
"(1R,2R,4aR,5S,6R)-6-Hydroxy-1-(hydroxymethyl)-5-{2-[(3R)-3-hydroxy-1-pyrrolidinyl]-2-oxoethyl}-1,4a-dimethyldecahydro-2-naphthalenyl (3,4,5-trimethoxyphenyl)carbamate","45583.4962725315","64952.9548023747","70347.0052227829","66006.0406378518","62743.8240595939","50198.7553821501","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606"
"(1R,4S,5R,7R,10R)-guaiane-1,5,10,11,12-pentaol","295794.506012411","308928.113695404","45227.9195973337","37448.4512051711","41375.9092145646","43553.7165676428","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606"
"(1S,2R)-3-oxo-2-pentylcyclopentane-1-butyric acid","2489442.22976361","2354458.74817444","1753462.29907914","492742.345571157","1055476.05841867","910730.342672886","320546.805494555","290160.953908664","324948.056723389","646677.401810299","265023.921715557","547226.886190374"
"(1S,2R,8aS)-1,2-Dihydroxyindolizidine","149828.535839494","331866.609702001","157214.157773167","344227.858781688","143959.985475873","206242.828608649","1286786.91693668","1263363.64234444","3156309.01867954","613737.726990439","513369.755570629","796321.003522998"
"(1S_3R_4S)-3_4-Dihydroxycyclohexane-1-carboxylate","19883.1948543368","31519.2145007153","22762.1889825467","128743.290153764","120882.220966771","50556.4255296988","1393199.03196799","1365955.11311437","758242.51190358","2641817.22070744","2430234.5788189","3414797.98876226"
"(2'S,3'S)-[(2E,4E)-2-methyl-hexa-2,4-dienoic acid isoleucinaldehyde]","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","180321.043531421","211602.801544877","273601.078694525","113455.56398054","161214.41409672","40526.9801447366"
"(2′R)-2-(2′-hydroxypropyl)-4-methoxyl-1,3-benzenediol","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","548.2965307606","129604.841655354","148950.884857983","126087.815634472","62518.0616888246","74700.6380377576","73256.5907103694"
"(2E,4E)-2-methyl-hexa-2,4-dienoic acid (2'R,3'S)-allo-isoleucinol amide","5866457.38349085","9478667.16765162","6448725.4090768","6057325.04494602","15733837.217496","13575423.1993471","10567655.7883083","2742785.38696375","11055689.6418163","7290244.69281274","10148679.6607385","7758898.98107268"
"(2E,4E)-N-Isobutyl-2,4-octadecadienamide","254747.232210117","360876.158153886","294874.292160167","188466.064704763","588411.178682779","301499.922852638","600249.56589652","178994.519034635","535951.233488559","219741.251874664","935181.888318335","161595.790773468"
"(2E_6E)-(10R_11S)-10_11-Epoxy-3_7_11-trimethyltrideca-2_6-dienoicacid","3060754.32037285","2470913.84825646","1794888.32248622","533776.176402406","1188002.48560443","1078694.43808742","138981.193665369","140352.823126228","227252.269391505","575359.809826291","448750.462121999","427155.896678924"
