"name","area_11_1_856_S25_noOTA","area_11_2_856_S25_noOTA","area_11_3_856_S25_noOTA","area_11_1_15_S25_noOTA","area_11_2_15_S25_noOTA","area_11_3_15_S25_noOTA","area_11_1_92_S25_noOTA","area_11_2_92_S25_noOTA","area_11_3_92_S25_noOTA","area_11_1_856_J25_OTA","area_11_2_856_J25_OTA","area_11_3_856_J25_OTA","area_11_1_15_J25_OTA","area_11_2_15_J25_OTA","area_11_3_15_J25_OTA","area_11_1_92_J25_OTA","area_11_2_92_J25_OTA","area_11_3_92_J25_OTA"
"group","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA"
"(-)-alpha-Cedrene","1562454.93281381","1392054.88185406","1582376.29048643","1269573.65691103","1252714.08742222","1446746.39137127","1704295.49846592","1616895.94529069","1698383.65353617","1890525.82997574","1184882.82776926","1355454.71542775","2998171.3323363","2614010.22623511","4393611.70393396","1619583.52522292","4191551.64336114","1474119.52506675"
"(-)-Isopiperitenone","5792220.19947098","7583930.18688762","7981782.21102231","5398663.38759929","5712387.47415558","5427716.45842985","2499936.72707222","2280166.77505992","3026585.69202655","3914446.17663971","1436468.34824585","2531042.24621367","7383407.34748137","8864312.50875403","6682653.88441219","2099760.15347166","2937739.71367385","1928371.13178282"
"(-)-Jasmonicacid","630771.176694389","548796.139222037","884354.611009516","348905.330313607","240456.142108866","271617.027882874","126796.315786008","102312.128370315","189555.384443498","377492.494189546","131715.909684938","155824.241666324","204461.490584396","93341.3475410146","184055.20778247","185930.835801437","337663.063211271","195387.118184415"
"(-)-Menthylacetate","160537.303295529","161360.617136134","267557.471903278","103060.703518105","103182.421359472","126434.11225256","158128.907520752","142590.432212103","501102.738298998","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678"
"(-)-monascumic acid","408755.779648972","346837.131567835","435890.957100447","1230762.64388611","1161493.00120595","1962510.80590626","1274999.16425623","1706096.04220754","1691969.09968184","501943.21398976","736315.420160517","543120.429088942","1956964.40403267","1855441.04470386","4114052.88168901","1106689.39345985","5827626.15890039","1208081.57174189"
"(-)-trans-Carveol","2670462.83273671","3215545.07741477","3384391.89874731","2180493.97960073","2198905.35563277","2227160.48960335","2171131.13727324","2416371.81222008","2443011.801461","2456024.37005842","311157.674640845","1422111.3765942","2974801.18466336","2380490.39229687","2264657.84997667","658917.511675036","936350.351535499","618965.314965961"
"(+)-(R,2E,4Z)-7-(4'-(dimethylamino)phenyl)-4,6-dimethyl-7-oxohepta-2,4-dienoic acid","2812310.34162452","2079827.17729463","2853107.53347307","969002.445420166","1280936.29551073","1248087.87567353","1270643.62572532","927113.833169564","1268419.21950916","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678"
"(+)-Bornane-2_5-dione","2075923.29432985","2453031.82672199","2586321.3439009","3929536.89586048","3063929.82708206","3469796.65811194","2374776.91425195","2269627.73463446","2474219.92983066","2632908.97732312","1522586.6148754","2333896.3483461","4302860.81724858","2174494.54572437","3545901.33814092","2095918.18520232","3075873.12267317","1960972.01704297"
"(+)-epoxyserinone B","9643.27478848325","32564.0913906515","78136.3726791761","92378.2983565887","89591.3269377612","94550.3919783675","97476.2936116924","220272.916019868","243650.017431671","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678"
"(+)-ethyl homononactate","399934.55362007","340503.288768873","341351.623874787","124806.821615387","167123.212077138","214706.449421404","187206.45276793","196493.003766916","203437.124346474","301154.798755862","137267.676454758","232320.849335276","251439.976657433","267452.850179801","224409.091871386","113141.530393906","137385.337677349","134515.285569304"
"(+)-exo-5-Hydroxycamphor","2934373.36020479","3691327.67270989","3919654.02645862","2586786.19397384","2404673.73743754","2270294.91830074","1352414.03209154","1500982.29486152","1608031.71742845","1948631.97278823","925259.77474538","1376083.18384928","3071058.13651696","3446545.76931432","2689788.0401277","1321226.52604335","1740526.02895679","1233670.3863746"
"(+)-Flavipucine","519001.83081608","31264.00509213","36111.8717477034","1959344.5888132","6366.86087746241","7183.91480900633","245286.388115257","9179.92441091804","28068.2081292856","1051728.04006849","101580.460398062","75899.832069885","660688.768108226","31788.436863672","102309.008170392","83079.7860007378","148029.742515872","196993.321922749"
"(+/-)-6-Hydroxy-3-oxo-alpha-ionone","685486.371817854","682627.658555243","808831.822747273","446654.834916578","565014.315641851","564898.961592988","433590.374593121","355216.938030198","458020.812147691","304085.88225324","306072.912911901","310835.062886293","316672.563625233","280848.666911713","285308.892765246","328590.215188417","262367.097396521","298918.032268003"
"(15R,18R,21S)-18-Isobutyl-15,21-dimethyl-11-[(1-oxo-2,3-dihydro-1H-inden-4-yl)carbonyl]-2-phenyl-7,8,9,10,11,12,14,15,17,18,20,21-dodecahydro-5H-[1,2,4]triazolo[1,5-d][1,4,7,10,13,16]hexaazacyclononad
ecine-6,13,16,19-tetrone","414072.107813518","256075.611458676","323134.441244871","317415.960085445","321163.629544539","406131.164603955","84763.1693690343","89176.0323028696","104726.453636725","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678"
"(1E)-5-hydroxy-1,7-diphenylhept-1-en-3-one","1489006.83754756","1700153.17469784","1867017.4299058","966907.532006456","720046.518644215","947825.822001039","270221.609842182","52668.3123671358","77499.7899795112","2180185.99341822","904721.472218281","909853.681894992","1275032.51888252","94125.2064983617","931547.205244283","183953.336481276","445765.227662478","177280.014041796"
"(1S,2R)-3-oxo-2-pentylcyclopentane-1-butyric acid","763955.88612065","694595.441823808","847999.61286853","595805.964521695","518611.785957736","637299.540284759","793607.286413396","749751.043603734","909270.001860575","1291443.63200231","920380.735464764","1049863.70841003","773052.390074425","350006.96366771","584848.492896374","1334167.68248645","1448249.01513912","1542147.43564752"
"(1S,2R,8aS)-1,2-Dihydroxyindolizidine","431161.132177981","206374.56328295","78996.007278967","983821.026672973","101443.703342759","120291.716820593","600976.862896455","389109.7365771","43753.2244967109","533597.833225194","1363250.67703647","1393458.64512766","550456.7482396","458037.14176302","352773.281088884","384121.476368138","1068274.96608878","378683.633910539"
"(1S_3R_4S)-3_4-Dihydroxycyclohexane-1-carboxylate","437517.182491753","558717.516042477","734268.87031145","862789.963475322","302002.230894231","294034.416422436","679976.423306279","955366.374652547","953960.298525087","992224.468002098","587847.801296309","1137523.49631339","2415076.06488565","1703225.63654719","6137682.21309973","1081485.32449296","1272420.29992499","359390.138919043"
"(2'S,3'S)-[(2E,4E)-2-methyl-hexa-2,4-dienoic acid isoleucinaldehyde]","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","26259.2938408954","29349.290026537","27076.450369342","156653.187117501","177449.020784318","215477.26187054","19065.3317731807","131710.550595256","5272.70072886855"
"(22E,24R)-ergosta-7,9(11),22-triene-3β,5α,6β-triol","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","20158.8054272809","12711.3610515064","3413.2401107795","34748.3306148622","38855.9597721861","3489.76647943665","24730.8129068019","3480.33242662667","23048.7166652207"
"(2E,4E)-2-methyl-hexa-2,4-dienoic acid (2'R,3'S)-allo-isoleucinol amide","4960086.79721939","4746234.293528","8141117.45326128","4498932.22310749","3093372.40782466","9301779.96092538","8556086.32279582","5802631.78618103","13842166.2260469","8889413.63985559","19059056.8360228","8844960.88050444","5733864.49126128","4160803.1528816","2449606.4371405","5601676.92586612","1946493.44798635","6440761.88623106"
"(2E,4E)-N-Isobutyl-2,4-octadecadienamide","123630.682394478","113095.708925713","164090.811414687","97640.3523837826","11666.2340477949","88183.9520637963","188887.379015744","98268.261258211","224350.29254705","145866.603006215","462465.523860961","98170.4916179576","82210.1437442988","66840.837053821","5758.86801839922","596898.939619604","104226.323822784","203647.3957378"
"(2E_6E)-(10R_11S)-10_11-Epoxy-3_7_11-trimethyltrideca-2_6-dienoicacid","595293.021591516","684051.142653298","672430.122423597","437976.507465574","391146.744457809","399021.946442996","611651.354601185","506037.346957777","656206.983714895","1062303.36828697","1415259.33548912","1320140.48144063","1062000.50794885","593276.542208083","859398.022332763","3704011.85650939","5441380.26733924","3584259.19439511"
"(2R)-2-amino-6-hydroxy-4-hexynoic acid","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","2492899.03365688","2627552.29212843","1578503.78468259","2269565.78960512","1987952.44644201","2549706.9887206","1609578.05680803","2445558.84127917","1227444.3436952"
"(2R,9R)-(+)-microdiplodiasone","15112414.9356701","11844317.1601498","14098655.7433061","858479.253774976","880656.17639294","907375.300249128","1124360.26290423","796806.806446765","1304632.96329662","10729981.4570442","11706085.1686211","13288768.0515559","1952909.1832807","3255504.30517057","3168224.87496269","1145193.22114404","1178109.29000578","1531489.86855037"
"(2R_3S)-2_3-Dimethylmalate","2555739.70205709","1202743.32536908","1439158.97182196","1376652.96689708","1326775.84842201","2068505.17152846","1110143.82085215","1157306.27043477","1231105.55561317","2109482.1524086","720821.354149923","1167436.60772057","2693278.36349932","1685508.38355072","2783467.97916664","1173025.08092097","2625033.23415178","883865.766747404"
"(2R_3S)-3-Isopropylmalate","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","188871.531835299","44632.7677434585","170517.51930273","150421.920391437","91240.3739430232","244813.747231054","881020.005433117","665903.173506864","668380.174736582"
"(2R_4S)-2_4-Diaminopentanoate","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","365145.069159836","193098.55429519","53107.8581858644","26200.6694146935","188001.71681559","91005.1734658247","126432.295763014","63386.200103438","200772.165530724"
"(2S)-2-{[1-(R)-Carboxyethyl]amino}pentanoate","6729231.30113724","3329696.7406582","4238887.71587805","11758833.4697601","12596886.2395728","18184782.2678393","1578617.37844645","3655883.30987175","6369737.71852072","3970108.58647742","791522.972340046","798182.689626443","3442910.85327842","442793.934415229","2476066.31617547","1307328.75836948","4919144.1258606","1248209.74879773"
"(2S)-2-Isopropyl-3-oxosuccinate","787438.969903213","671172.377826009","708569.052452436","1167593.9125817","3809828.92829278","2347563.84926746","2595327.26551423","2759564.933286","2815033.01733425","1768030.83951455","660706.23526055","1159301.72026802","1496664.20888486","1018879.15944884","2198306.26710967","1105057.42638093","3077171.18271594","781473.986108297"
"(2S)-5-acetamidopentyl 2-hydroxypropanoate","2861806.57289393","3560834.90233719","3785245.8119339","3287938.98580425","11233118.3388355","24243695.5840613","2555177.05728853","5252439.60486851","6426837.83586711","4550634.44265632","1671003.11982512","3745696.34340024","3484213.85027637","1916265.02082478","6727474.82557333","1678649.98247691","5513952.41814363","1131239.17080818"
"(2S,3R,5S)-(−)-2,3-dihydroxytetradecan-5-olide","167020.452275863","88825.9488444818","120873.494930172","49419.6688427417","35617.7512004148","151170.76205322","41754.6799495289","45222.8976402914","56132.5466367114","177026.774437611","108750.294871818","130973.565176638","74701.23366196","35600.482972396","55224.5695478371","205507.551615703","205096.399082244","189246.382769896"
"(3-Amino-4-methoxyphenyl)(4-methyl-1-piperazinyl)methanone","589813.041796034","2570935.33481442","2260408.07372934","469134.099428299","477143.718456403","452468.322935387","555369.899024805","422399.325570817","658847.516382513","2223159.23091724","3046941.20136661","5605358.93789074","5581706.69341673","414708.960792252","3364544.29964972","713847.257157682","829094.605697438","814220.402617487"
"(3-Methylene-4-penten-1-yl)benzene","64872.261378317","91913.0041404516","120609.313509386","119816.09098492","143627.556207892","128433.698801155","209282.881796961","192809.841415717","201927.898756936","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678"
"(3alpha,5alpha,9xi,14xi,25R)-Spirostan-3-yl nonanoate","189192.193475329","229628.898748818","446106.327482545","37221.3115574091","27050.8381245375","16612.1844471362","35166.5290612888","21068.9306752722","33678.8747516754","227216.086795615","35770.0921946712","42966.2805682473","132550.934990433","37901.3320439856","57539.7160658163","124895.716608431","391797.509145095","168117.380267774"
"(3aS,4aR,7aS,9bS)-3-Ethyl-2-oxo-3,3a,7a,9b-tetrahydro-2H,4aH-1,4,5-trioxadicyclopenta[a,hi]indene-7-carboxylic acid","883368.245323297","836786.450956353","1240253.07824824","364820.859945607","665806.836627645","820066.541502581","161367.728948879","261808.494843","494086.583056482","220985.609360236","31845.3963322915","128896.406951196","372091.15905789","447723.4983245","825150.413215185","178492.237704811","312537.174833221","128473.197189433"
"(3R)-beta-Leucine","13742797.9357962","19236712.3580957","24177309.2649372","71281474.2684515","18721243.1098596","21025452.0357989","44871945.4427569","46515191.655161","30157886.9280184","27576963.90796","21233208.0183805","20313984.712175","53706447.8882021","16297218.1510884","17276954.638887","50626778.8056117","86908562.6376659","53893449.6087032"
"(3S)-3_6-Diaminohexanoate","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","95540.2810686344","53025.6694889014","23938.8583761898","9729.55709333174","62167.3246285015","71060.5168198975","60432.5664006146","200331.541670928","127136.858747361"
"(3S*,4S*)-3,4-dihydroxy-7-methyl-3,4-dihydro-1(2H)-naphthalenone","72803.5779489171","176037.218036516","159977.19405071","439267.594438755","178431.044838242","198705.130171443","296487.490367565","286802.746653583","459240.878161178","48207.0724158275","306377.225880572","84908.9153785076","161675.610492583","21017.117994825","102339.3955453","115247.785714031","99626.7499750022","77555.1432399385"
"(3S,6S,10S)-3-Benzyl-4,6-dimethyl-5,8,12-trioxo-N-[2-(2-oxo-1-pyrrolidinyl)ethyl]-3,4,5,6,7,8,9,10,11,12-decahydro-2H-1,4,7,11-benzoxatriazacyclotetradecine-10-carboxamide","98173.999420863","100982.654504096","110737.945438603","71441.3892913212","55308.2780304825","56670.663436195","97684.1970118525","61936.2643047685","78879.3513866978","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678"
"(3Z,6E)-1-N-methyl-3-benzylidene-6-(2R-methyl-3-hydroxypropylidene)piperazine-2,5-dione","377115.634206979","646670.634785892","400739.365443942","475014.354477759","82918.5207137858","147173.74379583","63653.7620987799","56662.0515077997","175462.680551869","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678"
"(4-Oxo-1,2,3-benzotriazin-3(4H)-yl)acetic acid","4828.76769627979","4780.95258063949","4872.96720664075","126806.999360475","455213.461478284","511977.810083514","20584.1038820958","58141.6309195133","111212.561515806","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678"
"(4E)-2-Oxohexenoicacid","31382768.3697744","33645295.0668854","22725569.7700226","69458246.5262766","60258410.968667","75718044.7543363","34941548.8250451","38922103.9557409","32569888.6673464","41044109.5097586","49197596.5021439","42054936.7104447","86338338.9723006","100799112.72436","145766017.612215","32012934.4195169","91585571.0500841","29169775.1541664"
