"name","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA","area_8_1_15_S17_OTA","area_8_2_15_S17_OTA","area_8_3_15_S17_OTA"
"group","cE_noOTA","cE_noOTA","cE_noOTA","cE_OTA","cE_OTA","cE_OTA"
"(-)-alpha-Cedrene","451968.945834295","364159.885887661","412949.899127151","737449.428883697","881649.674339664","765691.225959968"
"(-)-beta-Pinene","3138.1447156551","3138.1447156551","3138.1447156551","136878.420325203","128034.985128658","129906.562128912"
"(-)-Isopiperitenone","3138.1447156551","3138.1447156551","3138.1447156551","4685841.81482654","6194943.40169311","5892856.56903151"
"(-)-jasmonic acid","3138.1447156551","3138.1447156551","3138.1447156551","295907.093816223","455283.324311917","420617.85163248"
"(-)-Jasmonicacid","250334.696822807","313075.110464672","507137.189741449","3138.1447156551","3138.1447156551","3138.1447156551"
"(-)-monascumic acid","3138.1447156551","3138.1447156551","3138.1447156551","223338.178102684","282486.674542771","322619.260121087"
"(-)-trans-Carveol","1350949.91296181","1337676.13266446","1111636.53504501","2452446.97707213","2314245.21048602","2755154.17089038"
"(+)-(R,2E,4Z)-7-(4'-(dimethylamino)phenyl)-4,6-dimethyl-7-oxohepta-2,4-dienoic acid","3138.1447156551","3138.1447156551","3138.1447156551","1771801.02048856","2536409.9009246","2193662.49512335"
"(+)-Bornane-2_5-dione","3138.1447156551","3138.1447156551","3138.1447156551","2601163.50276253","2882331.60994291","2118348.50323632"
"(+)-ethyl homononactate","3138.1447156551","3138.1447156551","3138.1447156551","279628.156719121","257590.749955458","245447.834988569"
"(+)-exo-5-Hydroxycamphor","3138.1447156551","3138.1447156551","3138.1447156551","1937646.48023458","2503260.1843936","2440286.04676602"
"(+/-)-6-Hydroxy-3-oxo-alpha-ionone","3138.1447156551","3138.1447156551","3138.1447156551","335039.060095881","513081.86397119","444833.649605109"
"(±)13-HpODE","2511155.30118376","2860018.09812367","2689821.91906376","3138.1447156551","3138.1447156551","3138.1447156551"
"(1E)-5-hydroxy-1,7-diphenylhept-1-en-3-one","3138.1447156551","3138.1447156551","3138.1447156551","336731.626562424","655819.457299016","524829.692037087"
"(1RS,6SR,10SR)-6,10-dimethylbicyclo[4.4.0]decan-3-one","427919.432395526","336187.20110036","507356.099637467","3138.1447156551","3138.1447156551","3138.1447156551"
"(1S,2R)-3-oxo-2-pentylcyclopentane-1-butyric acid","644631.087096501","493609.617978595","843537.657148334","3138.1447156551","3138.1447156551","3138.1447156551"
"(1S,2S)-3-oxo-2-pentylcyclopentane-1-octanoic acid","3949869.58370244","3140126.49030583","5252311.29157904","3138.1447156551","3138.1447156551","3138.1447156551"
"(1S,2S,3R)-4-hydroxymethylcyclopent-4-ene-1,2,3-triol","632301.632248407","649117.125275486","743284.381860339","3138.1447156551","3138.1447156551","3138.1447156551"
